city,iteractions_count,clickout_sum,user_id_unique,session_id_unique,item_id_unique,step_median,item_per_session
"Copenhagen, Denmark",36217,3013.0,1471,1633,178,36.0,0.10900183710961421
"Benidorm, Spain",16211,2879.0,1515,1773,321,14.0,0.18104906937394247
"Cartagena, Colombia",46477,2864.0,1532,1818,548,48.0,0.30143014301430143
"Durban, South Africa",25611,2856.0,1352,1653,319,33.0,0.19298245614035087
"Stockholm, Sweden",27186,2833.0,1262,1461,237,28.0,0.162217659137577
"Ankara, Turkey",34389,2812.0,1059,1283,254,51.0,0.1979734996102884
"Warsaw, Poland",19243,2805.0,1224,1457,471,18.0,0.32326698695950584
"Brussels, Belgium",28345,2799.0,1249,1435,376,29.0,0.2620209059233449
"Kobe, Japan",13304,2798.0,1369,1670,181,9.0,0.10838323353293414
"Krakow, Poland",26514,2729.0,1186,1368,541,34.0,0.39546783625730997
"Québec City, Canada",30970,2706.0,1279,1574,188,37.0,0.11944091486658195
"Liverpool, United Kingdom",22370,2701.0,1522,1722,256,21.0,0.148664343786295
"Toronto, Canada",23716,2687.0,1413,1690,373,21.0,0.22071005917159764
"Niagara Falls, Canada",20384,2683.0,1337,1554,163,22.0,0.1048906048906049
"Balneário Camboriú, Brazil",39435,2662.0,1581,1866,238,39.0,0.12754555198285103
"Paraty, Brazil",39159,2637.0,1512,1776,411,37.0,0.23141891891891891
"Birmingham, United Kingdom",20017,2542.0,1311,1506,243,18.0,0.16135458167330677
"San Francisco, USA",36920,2507.0,1433,1692,375,37.0,0.22163120567375885
"Brisbane, Australia",27908,2496.0,1236,1476,365,30.0,0.247289972899729
"Johor Bahru, Malaysia",22523,2431.0,1400,1706,339,28.0,0.19871043376318875
"Honolulu, USA",26393,2420.0,1227,1482,314,32.0,0.21187584345479082
"Hakone, Japan",12429,2420.0,1134,1341,281,12.0,0.20954511558538405
"Miami, USA",30977,2416.0,1425,1706,434,33.0,0.2543962485345838
"Cabo Frio, Brazil",35985,2406.0,1519,1795,420,34.0,0.233983286908078
"Bombinhas, Brazil",29015,2400.0,1304,1530,341,34.0,0.22287581699346407
"Campos do Jordão, Brazil",40148,2377.0,1536,1781,311,45.0,0.1746209994385177
"Dresden, Germany",21769,2376.0,1202,1357,238,28.0,0.17538688282977155
"Izmir, Turkey",26075,2372.0,980,1182,261,38.0,0.22081218274111675
"Naples, Italy",20740,2335.0,1052,1234,605,27.0,0.49027552674230146
"Hiroshima, Japan",10669,2312.0,976,1197,163,10.0,0.1361737677527151
"Marne-la-Vallée, France",19569,2312.0,1261,1414,222,23.0,0.157001414427157
"Pattaya, Thailand",29349,2299.0,1251,1496,728,34.0,0.48663101604278075
"Athens, Greece",29873,2262.0,1087,1287,484,37.0,0.37606837606837606
"João Pessoa, Brazil",29692,2217.0,1065,1340,209,36.0,0.15597014925373134
"Frankfurt, Germany",26884,2176.0,1082,1295,336,35.0,0.2594594594594595
"Sochi, Russia",21120,2162.0,1154,1299,572,28.0,0.4403387220939184
"Olímpia, Brazil",23029,2160.0,1273,1482,132,28.0,0.08906882591093117
"Anaheim, USA",26817,2160.0,1094,1333,261,34.0,0.19579894973743436
"Manila, Philippines",20841,2156.0,1401,1647,542,23.0,0.32908318154219796
"Eilat, Israel",12655,2143.0,1091,1308,158,15.0,0.12079510703363915
"Lake Buena Vista, USA",27269,2138.0,1295,1536,290,37.0,0.18880208333333334
"Marrakech, Morocco",40801,2124.0,1194,1397,730,51.0,0.5225483178239084
"Mar del Plata, Argentina",20877,2121.0,1215,1404,276,21.0,0.19658119658119658
"Los Angeles, USA",29347,2104.0,1362,1570,583,31.0,0.37133757961783437
"Delhi, India",18827,2098.0,1347,1517,803,20.0,0.5293342122610415
"Mahabaleshwar, India",22755,2088.0,1110,1314,328,25.0,0.2496194824961948
"Udaipur, India",33273,2022.0,1054,1279,433,46.0,0.3385457388584832
"Sendai, Japan",7922,2003.0,804,1005,136,8.0,0.13532338308457711
"Dusseldorf, Germany",20648,1997.0,967,1127,306,25.0,0.27151730257320317
"Montréal, Canada",24187,1984.0,1057,1257,310,30.0,0.2466189339697693
"Guadalajara, Mexico",34110,1970.0,1150,1415,265,47.0,0.1872791519434629
"Curitiba, Brazil",30144,1963.0,882,1079,199,51.0,0.18443002780352177
"São Sebastião, Brazil",29483,1953.0,1491,1671,378,32.0,0.22621184919210055
"York, United Kingdom",17327,1946.0,1051,1187,217,25.0,0.18281381634372368
"Varadero, Cuba",25242,1944.0,985,1192,100,32.0,0.08389261744966443
"Zakopane, Poland",13412,1933.0,1044,1160,462,16.0,0.39827586206896554
"Bologna, Italy",12956,1928.0,816,964,322,17.0,0.33402489626556015
"Fort Lauderdale, USA",26645,1907.0,1004,1238,367,34.0,0.2964458804523425
"Lonavala, India",18532,1900.0,1075,1419,206,32.0,0.14517265680056377
"Chicago, USA",22939,1890.0,1155,1347,280,33.0,0.20786933927245732
"Baguio, Philippines",11201,1887.0,923,1087,202,15.0,0.1858325666973321
"Porto, Portugal",25632,1859.0,963,1103,494,40.0,0.44786944696282865
"Valencia, Spain",19158,1858.0,1007,1126,335,27.0,0.2975133214920071
"Ilhabela, Brazil",34034,1853.0,1193,1372,277,45.0,0.2018950437317784
"Perth, Australia",17146,1828.0,932,1115,285,27.0,0.2556053811659193
"Playa Bavaro, Dominican Republic",21233,1805.0,1195,1411,192,28.0,0.13607370659107015
"Glasgow, United Kingdom",13425,1788.0,957,1098,208,19.0,0.1894353369763206
"San Andrés, Colombia",16859,1753.0,1003,1150,253,24.0,0.22
"Adelaide, Australia",13365,1727.0,787,928,229,23.0,0.24676724137931033
"Morro de São Paulo, Brazil",30966,1726.0,922,1106,241,52.0,0.2179023508137432
"Wrocław, Poland",11910,1725.0,719,815,220,22.0,0.26993865030674846
"Santa Marta, Colombia",25043,1711.0,951,1081,329,40.0,0.30434782608695654
"Granada, Spain",19427,1689.0,886,1020,315,32.0,0.3088235294117647
"Belo Horizonte, Brazil",22878,1673.0,828,1002,178,41.0,0.17764471057884232
"Cape Town, South Africa",24405,1672.0,868,1021,486,47.0,0.47600391772771794
"Leipzig, Germany",12450,1658.0,624,724,213,22.0,0.2941988950276243
"New Orleans, USA",20609,1654.0,1116,1269,343,32.0,0.2702915681639086
"Tel Aviv-Yafo, Israel",16769,1648.0,931,1097,274,28.0,0.2497721057429353
"Kota Kinabalu, Malaysia",17301,1647.0,838,1101,319,25.0,0.28973660308810173
"Ipoh, Malaysia",20069,1627.0,921,1143,205,30.0,0.17935258092738407
"Hyderabad, India",11974,1612.0,914,1048,414,16.0,0.3950381679389313
"Belfast, United Kingdom",8329,1610.0,778,911,149,12.0,0.16355653128430298
"Macau, China",9350,1600.0,828,1022,125,11.0,0.1223091976516634
"Calangute, India",22280,1600.0,964,1170,548,32.0,0.4683760683760684
"Naha, Japan",9509,1598.0,848,1046,223,13.0,0.21319311663479923
"Málaga, Spain",15281,1595.0,875,990,376,24.0,0.3797979797979798
"Strasbourg, France",15020,1593.0,840,932,232,26.0,0.24892703862660945
"Huatulco, Mexico",19486,1581.0,902,1079,101,36.0,0.09360518999073215
"Gothenburg, Sweden",11606,1574.0,851,999,98,16.0,0.0980980980980981
"Jijoca de Jericoacoara, Brazil",25378,1543.0,1054,1165,228,41.0,0.19570815450643778
"Bruges, Belgium",17870,1531.0,797,886,226,34.0,0.255079006772009
"Tagaytay City, Philippines",14697,1530.0,857,1025,240,27.0,0.23414634146341465
"Turin, Italy",12011,1530.0,718,829,340,20.0,0.4101326899879373
"Brasília, Brazil",16792,1524.0,841,989,149,28.0,0.1506572295247725
"Tainan, Taiwan",8085,1518.0,732,889,270,13.0,0.30371203599550056
"Bogotá, Colombia",23473,1515.0,802,927,486,45.0,0.5242718446601942
"Taichung City, Taiwan",9976,1504.0,853,996,294,14.0,0.29518072289156627
"Belek, Turkey",21099,1501.0,1115,1255,130,40.0,0.10358565737051793
"Hurghada, Egypt",19673,1493.0,893,1042,196,36.0,0.18809980806142035
"Ağva, Turkey",24841,1487.0,608,688,73,55.0,0.10610465116279069
"Jaipur, India",21748,1481.0,926,1074,456,34.0,0.4245810055865922
"San Diego, USA",22586,1475.0,1058,1194,355,38.0,0.29731993299832493
"Penha, Brazil",25568,1468.0,731,876,278,48.0,0.317351598173516
"Ilhéus, Brazil",18708,1467.0,953,1147,86,29.0,0.07497820401046207
"Maragogi, Brazil",22807,1452.0,1168,1363,143,29.0,0.10491562729273661
"Helsinki, Finland",13484,1445.0,813,929,145,19.0,0.15608180839612487
"Puebla, Mexico",20226,1425.0,690,852,185,39.0,0.21713615023474178
"Santos, Brazil",14653,1416.0,785,928,124,31.0,0.1336206896551724
"Patong Beach, Thailand",22418,1411.0,716,882,459,47.0,0.5204081632653061
"Puerto Iguazú, Argentina",24615,1399.0,762,927,236,48.0,0.2545846817691478
"Aracaju, Brazil",24129,1390.0,700,924,108,44.0,0.11688311688311688
"Recife, Brazil",21249,1380.0,776,944,184,43.0,0.19491525423728814
"Rotterdam, Netherlands",13644,1378.0,761,847,109,25.0,0.12868949232585597
"Chiba, Japan",5416,1376.0,636,757,131,7.0,0.17305151915455746
"Thessaloniki, Greece",12252,1360.0,543,679,188,26.0,0.2768777614138439
"Kanazawa, Japan",6402,1348.0,639,801,114,9.0,0.14232209737827714
"Bengaluru, India",11846,1347.0,870,961,601,20.0,0.6253902185223725
"Santiago, Chile",17125,1344.0,727,850,419,31.0,0.4929411764705882
"Cebu City, Philippines",11318,1315.0,739,880,297,24.0,0.3375
"Ixtapa, Mexico",14971,1314.0,716,893,84,31.0,0.0940649496080627
"Vancouver, Canada",15032,1314.0,785,887,195,31.0,0.21984216459977451
"Praia da Pipa, Brazil",28349,1300.0,951,1125,191,53.0,0.16977777777777778
"Blackpool, United Kingdom",11255,1292.0,762,859,350,23.0,0.4074505238649593
"Sharm el-Sheikh, Egypt",14777,1279.0,803,928,194,27.0,0.20905172413793102
"Guanajuato, Mexico",16059,1278.0,720,858,189,38.0,0.2202797202797203
"Abu Dhabi, United Arab Emirates",14083,1277.0,745,906,142,24.0,0.15673289183222958
"Kissimmee, USA",17647,1271.0,681,849,341,39.0,0.4016489988221437
"Nuremberg, Germany",10720,1268.0,616,707,196,21.0,0.27722772277227725
"Salzburg, Austria",14025,1266.0,635,704,200,30.0,0.2840909090909091
"Monterrey, Mexico",14262,1256.0,711,879,122,25.0,0.13879408418657566
"Leeds, United Kingdom",10760,1253.0,639,752,149,24.0,0.1981382978723404
"San Carlos de Bariloche, Argentina",17871,1253.0,726,853,259,39.0,0.30363423212192264
"Key West, USA",16324,1253.0,697,804,191,33.0,0.23756218905472637
"Gdańsk, Poland",11248,1252.0,585,674,283,27.0,0.4198813056379822
"Chennai, India",11080,1252.0,657,763,445,24.0,0.583224115334207
"Caraguatatuba, Brazil",17734,1252.0,749,881,200,40.0,0.22701475595913734
"Bora Bora, French Polynesia",11413,1233.0,901,919,39,23.0,0.042437431991294884
"Alanya, Turkey",15853,1231.0,794,880,326,33.0,0.3704545454545455
"Atami, Japan",4670,1230.0,625,736,183,8.0,0.24864130434782608
"Nikko, Japan",5379,1220.0,688,804,130,7.0,0.16169154228855723
"Washington D.C., USA",14808,1219.0,661,768,301,28.0,0.3919270833333333
"Maastricht, Netherlands",16270,1213.0,699,770,104,43.0,0.13506493506493505
"Manzanillo, Mexico",13157,1213.0,703,845,73,31.0,0.0863905325443787
"San Antonio, USA",16462,1201.0,834,934,293,39.0,0.31370449678800855
"Kuantan, Malaysia",11349,1185.0,610,824,123,21.0,0.14927184466019416
"Angra dos Reis, Brazil",18637,1184.0,888,994,186,35.0,0.18712273641851107
"Nuevo Vallarta, Mexico",15756,1170.0,894,1015,155,35.0,0.15270935960591134
"Cardiff , United Kingdom",8141,1145.0,600,705,120,16.0,0.1702127659574468
"Jerusalem, Israel",10248,1145.0,685,820,214,19.0,0.26097560975609757
"Surfers Paradise, Australia",16140,1141.0,647,758,293,46.0,0.3865435356200528
"Matheran, India",5672,1140.0,626,707,110,10.0,0.15558698727015557
"Boston, USA",11554,1139.0,628,754,225,24.0,0.2984084880636605
"Kazan, Russia",6789,1129.0,613,699,208,14.0,0.29756795422031473
"Mount Abu, India",8089,1124.0,598,687,171,15.0,0.24890829694323144
"Havana, Cuba",11778,1116.0,648,737,253,25.0,0.34328358208955223
"Wellington, New Zealand",8916,1113.0,528,654,124,19.0,0.18960244648318042
"Kolobrzeg , Poland",6716,1111.0,610,711,146,16.0,0.20534458509142053
"Pigeon Forge, USA",13135,1108.0,538,662,231,36.0,0.34894259818731116
"Hat Yai, Thailand",12121,1106.0,503,652,189,33.0,0.2898773006134969
"Bursa, Turkey",11330,1106.0,554,636,128,31.0,0.20125786163522014
"Puri, India",8671,1095.0,593,717,214,18.0,0.298465829846583
"Afyon, Turkey",6753,1091.0,544,620,37,19.0,0.05967741935483871
"Verona, Italy",11504,1089.0,500,575,316,29.0,0.5495652173913044
"Tallinn, Estonia",12345,1087.0,529,611,165,31.0,0.2700490998363339
"Georgetown, Malaysia",14344,1080.0,672,793,287,35.0,0.3619167717528373
"Pune, India",10627,1079.0,716,826,398,23.0,0.48184019370460046
"Bath, United Kingdom",8356,1077.0,610,676,145,19.0,0.21449704142011836
"Nice, France",12534,1076.0,513,583,252,34.0,0.4322469982847341
"Lyon, France",10439,1073.0,551,607,257,28.0,0.4233937397034596
"Genting Highlands, Malaysia",7687,1072.0,678,829,43,13.0,0.05186972255729795
"Ho Chi Minh City, Vietnam",11920,1055.0,506,605,501,31.0,0.828099173553719
"Kagoshima, Japan",3627,1052.0,463,587,96,6.0,0.1635434412265758
"Stuttgart, Germany",9590,1043.0,583,662,186,21.0,0.2809667673716012
"Chiang Mai, Thailand",19451,1040.0,583,694,597,71.0,0.8602305475504323
"Petrópolis, Brazil",15522,1035.0,583,677,136,41.0,0.20088626292466766
"Panama City, Panama",17048,1032.0,541,650,178,57.0,0.27384615384615385
"Kolkata, India",9209,1024.0,595,687,384,20.0,0.5589519650655022
"Cairo, Egypt",10280,1019.0,624,702,199,29.0,0.28347578347578345
"Myrtle Beach, USA",9793,1002.0,808,892,248,26.0,0.27802690582959644
"Porto Alegre, Brazil",15380,998.0,514,598,132,42.0,0.22073578595317725
"Bristol, United Kingdom",6812,994.0,495,574,151,16.0,0.26306620209059234
"Bertioga, Brazil",8326,991.0,790,897,145,16.0,0.1616499442586399
"Penedo, Brazil",13269,990.0,600,714,132,31.0,0.18487394957983194
"Göreme, Turkey",18088,986.0,376,451,219,78.0,0.48558758314855877
"Puducherry, India",9767,985.0,558,655,213,21.0,0.3251908396946565
"Aparecida, Brazil",7035,981.0,589,724,105,13.0,0.14502762430939226
"Mysore, India",11198,981.0,512,610,214,32.0,0.35081967213114756
"Newcastle upon Tyne, United Kingdom",6160,978.0,548,615,114,13.0,0.18536585365853658
"Shanghai, China",9783,973.0,472,608,448,24.0,0.7368421052631579
"Shimla, India",11391,969.0,605,698,286,38.0,0.40974212034383956
"Kusadasi, Turkey",12135,964.0,606,683,141,38.0,0.20644216691068815
"Villa Carlos Paz, Argentina",8944,963.0,568,643,216,21.0,0.3359253499222395
"Veracruz Llave, Mexico",16175,963.0,548,666,143,47.0,0.2147147147147147
"Udhagamandalam, India",12840,959.0,502,584,239,33.0,0.4092465753424658
"Atlanta, USA",15301,958.0,504,598,276,57.0,0.46153846153846156
"Alibaug, India",10183,957.0,558,637,178,25.0,0.2794348508634223
"Merida, Mexico",14394,953.0,480,598,205,39.0,0.342809364548495
"Fernando de Noronha, Brazil",6736,953.0,729,788,145,18.0,0.18401015228426396
"Busan, South Korea",8450,952.0,538,621,249,19.0,0.40096618357487923
"Bodrum, Turkey",15532,950.0,648,714,237,53.0,0.3319327731092437
"Poços de Caldas, Brazil",12816,946.0,618,737,51,27.0,0.06919945725915876
"Medellín, Colombia",17182,946.0,536,624,284,48.0,0.4551282051282051
"Queenstown, New Zealand",9022,942.0,444,528,140,27.0,0.26515151515151514
"Side, Turkey",11228,934.0,582,678,218,38.0,0.3215339233038348
"Mendoza City, Argentina",13181,929.0,510,611,188,34.0,0.3076923076923077
"Zurich, Switzerland",11620,925.0,499,593,199,30.0,0.33558178752107926
"Reykjavík, Iceland",10163,920.0,385,453,177,34.0,0.39072847682119205
"Oslo, Norway",10360,918.0,509,578,119,31.0,0.20588235294117646
"Seattle, USA",9396,915.0,450,516,245,29.0,0.4748062015503876
"Abant, Turkey",9448,914.0,562,617,40,23.0,0.06482982171799027
"Nashville, USA",8679,914.0,534,604,229,22.0,0.3791390728476821
"Cairns, Australia",10119,913.0,407,487,187,35.0,0.3839835728952772
"Leon, Mexico",8413,913.0,496,589,96,23.0,0.16298811544991512
"Kaohsiung City, Taiwan",5040,907.0,511,588,252,11.0,0.42857142857142855
"Cordoba, Spain",9688,903.0,467,527,188,36.0,0.3567362428842505
"Palma, Spain",12658,898.0,552,601,254,34.0,0.4226289517470882
"Kuta, Indonesia",15767,897.0,565,653,364,71.0,0.557427258805513
"Montevideo, Uruguay",11717,892.0,432,518,143,40.0,0.27606177606177607
"Monte Verde, Brazil",11911,891.0,587,669,163,28.0,0.2436472346786248
"Praia Grande, Brazil",6221,883.0,645,731,145,13.0,0.19835841313269495
"Antwerp, Belgium",9823,883.0,522,584,121,27.0,0.2071917808219178
"Shirahama, Japan",3175,881.0,463,553,75,6.0,0.13562386980108498
"Guarapari, Brazil",8547,878.0,535,630,111,21.0,0.1761904761904762
"Hua Hin, Thailand",11727,875.0,470,586,318,35.0,0.5426621160409556
"Kuching, Malaysia",8577,872.0,421,545,130,26.0,0.23853211009174313
"Canberra, Australia",7875,872.0,465,535,101,26.0,0.18878504672897195
"Sofia, Bulgaria",7833,870.0,520,580,252,25.0,0.43448275862068964
"Capitólio, Brazil",5694,860.0,628,700,107,12.0,0.15285714285714286
"Kuala Terengganu, Malaysia",9806,855.0,443,574,96,27.0,0.1672473867595819
"Brighton, United Kingdom",6046,853.0,462,511,120,18.0,0.23483365949119372
"Saputara, India",2620,851.0,423,482,25,5.0,0.05186721991701245
"Albufeira, Portugal",7778,851.0,533,593,221,23.0,0.37268128161888703
"Canela, Brazil",9614,847.0,532,632,236,26.0,0.37341772151898733
"Galway, Ireland",4963,844.0,500,561,127,15.0,0.22638146167557932
"Cuenca, Ecuador",4736,843.0,386,442,107,14.0,0.2420814479638009
"Makati, Philippines",9224,837.0,500,589,197,31.0,0.33446519524617996
"Hobart, Australia",7534,827.0,361,435,167,22.0,0.3839080459770115
"Queretaro, Mexico",10229,824.0,493,591,136,28.0,0.23011844331641285
"Hanover, Germany",6552,824.0,402,458,174,20.0,0.3799126637554585
"Oaxaca, Mexico",11066,820.0,461,552,190,34.0,0.3442028985507246
"Bremen, Germany",6348,817.0,401,454,103,21.0,0.22687224669603523
"Pasay, Philippines",7719,814.0,525,608,170,27.0,0.27960526315789475
"Kusatsu, Japan",3386,809.0,444,512,131,8.0,0.255859375
"Phetchabun, Thailand",3564,803.0,492,569,111,7.0,0.19507908611599298
"Shirdi, India",6797,802.0,450,516,156,18.0,0.3023255813953488
"Seminyak, Indonesia",13342,800.0,426,502,375,52.0,0.7470119521912351
"Shah Alam, Malaysia",6589,797.0,449,555,161,19.0,0.29009009009009007
"Uludag, Turkey",6676,796.0,468,502,94,23.0,0.18725099601593626
"Chester, United Kingdom",6721,795.0,500,561,111,20.0,0.19786096256684493
"Punta del Este, Uruguay",10713,794.0,502,572,194,35.0,0.33916083916083917
"Tirupati, India",3953,794.0,383,444,119,10.0,0.268018018018018
"Águas de Lindóia, Brazil",8872,793.0,560,649,115,29.0,0.17719568567026195
"Innsbruck, Austria",6145,789.0,413,461,99,19.0,0.21475054229934923
"Fethiye, Turkey",14882,789.0,521,567,224,76.0,0.3950617283950617
"Ottawa, Canada",7374,786.0,452,526,113,23.0,0.21482889733840305
"Morelia, Mexico",12107,786.0,466,572,101,45.0,0.17657342657342656
"Bolu, Turkey",8957,785.0,544,605,68,24.0,0.11239669421487604
"Playa de las Américas, Spain",6815,781.0,474,552,165,19.0,0.29891304347826086
"Christchurch, New Zealand",6777,778.0,390,462,203,25.0,0.4393939393939394
"Colmar, France",6376,775.0,463,522,157,21.0,0.3007662835249042
"Lara, Turkey",8335,774.0,566,654,130,31.0,0.19877675840978593
"Torres, Brazil",6467,770.0,482,585,75,16.0,0.1282051282051282
"Diu, India",3157,766.0,386,457,54,7.0,0.11816192560175055
"Bournemouth, United Kingdom",6616,763.0,384,440,131,24.0,0.29772727272727273
"Gatlinburg, USA",11642,763.0,421,517,253,44.0,0.48936170212765956
"Banff, Canada",9005,760.0,371,444,62,32.0,0.13963963963963963
"Bansko, Bulgaria",9753,752.0,430,483,186,34.0,0.38509316770186336
"Vitória, Brazil",10739,752.0,397,487,72,44.0,0.14784394250513347
"San Miguel de Allende, Mexico",11997,752.0,505,581,209,44.0,0.35972461273666095
"Nara, Japan",2428,750.0,341,427,103,6.0,0.24121779859484777
"Bucharest, Romania",6779,750.0,438,533,250,19.0,0.46904315196998125
"Okayama, Japan",2551,749.0,402,501,83,5.0,0.1656686626746507
"Agadir, Morocco",6757,746.0,359,421,126,25.0,0.2992874109263658
"Costa Adeje, Spain",7202,743.0,489,560,143,20.0,0.25535714285714284
"Torremolinos, Spain",6219,741.0,386,455,134,31.0,0.2945054945054945
"Swinoujscie, Poland",5764,739.0,420,492,159,26.0,0.3231707317073171
"Las Palmas, Spain",7065,738.0,407,474,201,20.0,0.4240506329113924
"Marmaris, Turkey",10903,737.0,524,578,242,40.0,0.4186851211072664
"Makkah, Saudi Arabia",4278,735.0,473,538,126,9.0,0.2342007434944238
"Praia do Forte, Brazil",7708,735.0,596,663,104,24.0,0.1568627450980392
