index,user_id,pos_item_id,list_reference_item,item_id,impressions
42,1611,1,"[0, 0, 0, 0, 0]",765,"[395, 765, 100, 208, 0, 701, 131, 182, 56, 162, 118, 133, 139, 157, 500, 758, 273, 0, 414, 0, 105, 200, 337, 0, 149]"
43,1881,7,"[431, 0, 0, 0, 0]",431,"[179, 379, 530, 134, 119, 294, 497, 431, 20, 389, 380, 121, 279, 297, 483, 474, 286, 447, 508, 624, 321, 304, 374, 448, 464]"
44,3169,3,"[102, 0, 0, 0, 0]",380,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
45,1417,11,"[459, 659, 443, 443, 0]",709,"[459, 630, 659, 739, 227, 667, 115, 96, 443, 313, 328, 709, 341, 708, 21, 223, 334, 0, 616, 0, 217, 172, 343, 63]"
46,3169,1,"[102, 380, 0, 0, 0]",102,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
47,3169,1,"[102, 380, 102, 0, 0]",102,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
51,1417,20,"[459, 659, 443, 443, 709]",217,"[459, 630, 659, 739, 227, 667, 115, 96, 443, 313, 328, 709, 341, 708, 21, 223, 334, 0, 616, 0, 217, 172, 343, 63]"
52,99,3,"[576, 254, 0, 0, 0]",254,"[493, 110, 576, 254, 91, 307, 473, 728, 58, 513, 353, 141, 143, 128, 729, 137, 467, 168, 175, 18, 126, 123, 89, 27, 112]"
53,2459,0,"[707, 0, 0, 0, 0]",405,"[405, 128, 37, 726, 18, 43, 55, 66, 121, 289, 254, 501, 465, 754, 91, 59, 576, 510, 44, 36, 525, 19, 31, 424]"
55,3169,4,"[102, 380, 102, 102, 0]",121,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
59,73,0,"[0, 0, 0, 0, 0]",20,"[20, 614, 102, 431, 497, 126, 502, 380, 508, 119, 121, 379, 385, 450, 464, 54, 306, 389, 483, 246, 278, 307, 297, 448, 447]"
62,99,23,"[576, 254, 254, 91, 168]",27,"[493, 110, 576, 254, 91, 307, 473, 728, 58, 513, 353, 141, 143, 128, 729, 137, 467, 168, 175, 18, 126, 123, 89, 27, 112]"
63,3169,4,"[102, 380, 102, 102, 121]",121,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
64,2511,10,"[0, 0, 0, 0, 0]",43,"[467, 128, 479, 754, 52, 18, 281, 739, 405, 58, 43, 297, 659, 215, 0, 113, 255, 501, 474, 0, 454, 112, 717, 578, 89]"
65,187,6,"[0, 0, 0, 0, 0]",773,"[19, 254, 754, 84, 753, 59, 773, 245, 494, 45, 428, 18, 23, 55, 121, 426, 429, 501, 44, 60, 576, 91, 527, 25, 123]"
66,3169,5,"[102, 380, 102, 102, 121]",320,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
69,1043,11,"[0, 0, 0, 0, 0]",168,"[131, 353, 689, 133, 467, 132, 149, 0, 178, 445, 216, 168, 157, 0, 528, 118, 260, 386, 743, 154, 0, 0, 190, 208, 273]"
70,1043,11,"[168, 0, 0, 0, 0]",168,"[131, 353, 689, 133, 467, 132, 149, 0, 178, 445, 216, 168, 157, 0, 528, 118, 260, 386, 743, 154, 0, 0, 190, 208, 273]"
71,99,13,"[576, 254, 254, 91, 168]",14,"[140, 286, 380, 610, 206, 587, 564, 689, 124, 107, 44, 131, 528, 14, 22, 100, 321, 47, 52, 573, 138, 510, 0, 186, 371]"
75,2535,4,"[0, 0, 0, 0, 0]",467,"[133, 353, 689, 131, 467, 537, 157, 178, 0, 504, 56, 445, 0, 695, 622, 139, 216, 606, 701, 160, 569, 0, 105, 477, 0]"
77,3181,0,"[777, 0, 0, 0, 0]",777,"[777, 587, 576, 123, 58, 0, 427, 89, 140, 163, 70, 395, 456, 573, 484, 735, 100, 15, 493, 527, 239, 166, 318, 523, 0]"
78,2559,10,"[0, 0, 0, 0, 0]",35,"[753, 88, 123, 33, 773, 62, 297, 59, 610, 128, 35, 137, 46, 525, 754, 38, 427, 91, 20, 424, 486, 110, 426, 168, 0]"
80,60,0,"[0, 0, 0, 0, 0]",464,"[464, 286, 614, 20, 102, 474, 448, 431, 321, 55, 121, 429, 435, 66, 60, 426, 303, 483, 433, 564, 508, 25, 502, 459, 110]"
81,1043,6,"[168, 168, 0, 0, 0]",149,"[131, 353, 689, 133, 467, 132, 149, 0, 178, 445, 216, 168, 157, 0, 528, 118, 260, 386, 743, 154, 0, 0, 190, 208, 273]"
82,1043,6,"[168, 168, 0, 0, 0]",149,"[131, 353, 689, 133, 467, 132, 149, 0, 178, 445, 216, 168, 157, 0, 528, 118, 260, 386, 743, 154, 0, 0, 190, 208, 273]"
83,3181,3,"[777, 777, 0, 0, 0]",123,"[777, 587, 576, 123, 58, 0, 427, 89, 140, 163, 70, 395, 456, 573, 484, 735, 100, 15, 493, 527, 239, 166, 318, 523, 0]"
84,2155,9,"[187, 0, 0, 0, 0]",245,"[187, 54, 426, 371, 456, 501, 520, 676, 376, 245, 46, 58, 425, 424, 530, 57, 252, 175, 123, 17, 60, 729, 98, 508, 753]"
85,1581,0,"[254, 0, 0, 0, 0]",306,"[306, 307, 376, 576, 123, 465, 55, 91, 121, 289, 429, 254, 379, 385, 501, 426, 493, 60, 23, 25, 89, 18, 527, 44, 530]"
86,2559,20,"[35, 0, 0, 0, 0]",230,"[668, 510, 284, 0, 186, 206, 423, 97, 563, 52, 450, 0, 0, 341, 651, 211, 487, 21, 223, 0, 230, 616, 0, 226, 158]"
87,176,0,"[0, 0, 0, 0, 0]",753,"[753, 773, 39, 31, 32, 494, 23, 44, 55, 121, 426, 429, 254, 501, 18, 60, 245, 576, 91, 45, 527, 109, 25, 123, 530]"
88,1473,21,"[0, 0, 0, 0, 0]",245,"[450, 493, 35, 465, 23, 576, 102, 286, 376, 222, 484, 106, 321, 389, 44, 502, 128, 59, 141, 513, 424, 245, 307, 523, 474]"
89,2535,0,"[467, 0, 0, 0, 0]",133,"[133, 353, 689, 131, 467, 537, 157, 178, 0, 504, 56, 445, 0, 695, 622, 139, 216, 606, 701, 160, 569, 0, 105, 477, 0]"
90,3169,4,"[102, 380, 102, 102, 121]",121,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
91,847,0,"[0, 0, 0, 0, 0]",214,"[214, 772, 98, 61, 30, 425, 187, 437, 46, 525, 676, 496, 29, 82, 288, 101, 36, 62, 83, 753, 57, 44, 87, 65, 383]"
92,3169,0,"[102, 380, 102, 102, 121]",564,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
93,1357,2,"[0, 0, 0, 0, 0]",509,"[467, 128, 509, 120, 576, 56, 58, 479, 400, 744, 423, 168, 493, 739, 399, 659, 91, 405, 112, 149, 329, 123, 427, 251, 84]"
94,3169,1,"[102, 380, 102, 102, 121]",102,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
95,2535,0,"[467, 133, 0, 0, 0]",405,"[405, 143, 587, 137, 112, 37, 128, 307, 714, 138, 467, 560, 395, 116, 189, 15, 353, 475, 728, 303, 168, 80, 141, 133, 97]"
96,1473,10,"[245, 0, 0, 0, 0]",16,"[126, 528, 290, 89, 132, 189, 14, 689, 0, 266, 16, 29, 153, 459, 108, 447, 736, 97, 717, 124, 430, 100, 66, 524, 30]"
97,3169,3,"[102, 380, 102, 102, 121]",380,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
98,3325,0,"[0, 0, 0, 0, 0]",321,"[321, 102, 121, 379, 483, 20, 110, 380, 126, 389, 284, 122, 497, 502, 508, 464, 614, 385, 303, 447, 297, 0, 450, 435, 33]"
99,3169,4,"[102, 380, 102, 102, 121]",121,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
100,1473,3,"[245, 16, 0, 0, 0]",84,"[0, 391, 368, 84, 252, 208, 185, 754, 505, 0, 630, 497, 57, 346, 236, 742, 233, 168, 701, 0, 217, 162, 118, 22, 277]"
101,2225,7,"[0, 0, 0, 0, 0]",33,"[0, 0, 662, 0, 197, 429, 320, 33, 54, 0, 51, 0, 0, 0, 375, 399, 426, 60, 327, 0, 0, 264]"
102,1709,8,"[0, 0, 0, 0, 0]",379,"[128, 18, 88, 530, 374, 36, 59, 32, 379, 385, 121, 43, 53, 66, 46, 494, 23, 91, 25, 57, 19, 433, 80, 753, 41]"
103,1473,15,"[245, 16, 84, 0, 0]",742,"[0, 391, 368, 84, 252, 208, 185, 754, 505, 0, 630, 497, 57, 346, 236, 742, 233, 168, 701, 0, 217, 162, 118, 22, 277]"
104,2535,23,"[467, 133, 405, 0, 0]",133,"[405, 143, 587, 137, 112, 37, 128, 307, 714, 138, 467, 560, 395, 116, 189, 15, 353, 475, 728, 303, 168, 80, 141, 133, 97]"
105,2495,0,"[0, 0, 0, 0, 0]",102,"[102, 121, 380, 564, 278, 110, 447, 289, 429, 385, 520, 456, 39, 126, 465, 379, 426, 35, 25, 143, 501, 493, 91, 527, 120]"
107,1391,8,"[0, 0, 0, 0, 0]",66,"[54, 280, 60, 507, 433, 721, 375, 53, 66, 25, 145, 55, 0, 459, 696, 71, 248, 263, 298, 0, 426, 93, 0, 0, 153]"
108,3169,4,"[102, 380, 102, 102, 121]",121,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
109,2225,7,"[33, 33, 0, 0, 0]",33,"[0, 0, 662, 0, 197, 429, 320, 33, 54, 0, 51, 0, 0, 0, 375, 399, 426, 60, 327, 0, 0, 264]"
110,1473,8,"[245, 16, 84, 742, 0]",212,"[517, 758, 767, 494, 65, 0, 248, 34, 212, 0, 427, 362, 204, 144, 260, 27, 0, 400, 301, 735, 154, 41, 192, 15, 161]"
111,3169,6,"[102, 380, 102, 102, 121]",215,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
112,1473,5,"[245, 16, 84, 742, 212]",83,"[182, 38, 456, 0, 88, 83, 428, 180, 82, 140, 431, 291, 51, 322, 87, 45, 26, 139, 600, 20, 380, 94, 632, 0, 28]"
113,1269,0,"[0, 0, 0, 0, 0]",376,"[376, 252, 123, 254, 108, 456, 483, 59, 501, 18, 112, 58, 425, 426, 502, 278, 297, 294, 321, 57, 119, 724, 29, 126, 379]"
114,20,2,"[0, 0, 0, 0, 0]",510,"[43, 57, 510, 40, 153, 108, 121, 62, 175, 33, 137, 141, 18, 297, 100, 59, 276, 27, 753, 206, 724, 134, 208, 777, 427]"
115,20,7,"[510, 0, 0, 0, 0]",62,"[43, 57, 510, 40, 153, 108, 121, 62, 175, 33, 137, 141, 18, 297, 100, 59, 276, 27, 753, 206, 724, 134, 208, 777, 427]"
116,1248,1,"[0, 0, 0, 0, 0]",517,"[753, 517, 32, 729, 709, 773, 443, 45, 428, 583, 111, 659, 0, 520, 738, 425, 223, 39, 414, 26, 0, 454, 86, 0, 115]"
117,1269,12,"[376, 0, 0, 0, 0]",306,"[121, 501, 379, 376, 91, 527, 465, 576, 185, 661, 380, 110, 306, 493, 89, 44, 474, 140, 108, 40, 756, 222, 60, 102, 508]"
118,2327,5,"[179, 0, 0, 0, 0]",179,"[254, 123, 465, 530, 143, 179, 376, 405, 371, 502, 523, 483, 497, 587, 777, 22, 89, 576, 496, 473, 40, 119, 756, 222, 527]"
119,3296,2,"[0, 0, 0, 0, 0]",429,"[289, 121, 429, 23, 25, 123, 465, 377, 88, 385, 43, 496, 91, 775, 456, 120, 39, 433, 379, 27, 64, 75, 66, 301, 753]"
120,2013,1,"[0, 0, 0, 0, 0]",754,"[84, 754, 254, 245, 775, 45, 91, 19, 428, 23, 35, 44, 289, 456, 496, 501, 39, 527, 379, 429, 377, 43, 465, 75, 530]"
121,3296,5,"[429, 0, 0, 0, 0]",33,"[429, 289, 25, 426, 433, 33, 66, 39, 43, 23, 91, 32, 754, 494, 753, 88, 775, 496, 34, 377, 54, 14, 64, 31, 47]"
122,1035,5,"[0, 0, 0, 0, 0]",304,"[286, 497, 450, 119, 20, 304, 241, 614, 379, 303, 385, 297, 597, 380, 431, 121, 389, 279, 246, 320, 278, 242, 27, 447, 104]"
123,847,0,"[214, 0, 0, 0, 0]",214,"[214, 772, 98, 61, 30, 425, 187, 437, 46, 525, 676, 496, 29, 82, 288, 101, 36, 62, 83, 753, 57, 44, 87, 65, 383]"
124,847,0,"[214, 214, 0, 0, 0]",214,"[214, 772, 98, 61, 30, 425, 187, 437, 46, 525, 676, 496, 29, 82, 288, 101, 36, 62, 83, 753, 57, 44, 87, 65, 383]"
125,847,0,"[214, 214, 214, 0, 0]",214,"[214, 772, 143, 98, 773, 40, 121, 751, 102, 187, 376, 405, 494, 520, 425, 437, 525, 33, 108, 501, 60, 30, 14, 426, 496]"
129,847,0,"[214, 214, 214, 214, 214]",214,"[214, 772, 143, 98, 773, 40, 121, 751, 102, 187, 376, 405, 494, 520, 425, 437, 525, 33, 108, 501, 60, 30, 14, 426, 496]"
130,2172,21,"[450, 0, 0, 0, 0]",126,"[385, 379, 530, 297, 389, 483, 20, 497, 294, 252, 380, 0, 0, 534, 653, 450, 121, 321, 0, 0, 474, 126, 0, 644, 119]"
131,2030,0,"[0, 0, 0, 0, 0]",19,"[19, 84, 753, 245, 59, 773, 23, 66, 121, 429, 385, 501, 426, 123, 527, 754, 465, 120, 45, 428, 35, 44, 456, 143, 377]"
132,2172,10,"[450, 126, 0, 0, 0]",380,"[385, 379, 530, 297, 389, 483, 20, 497, 294, 252, 380, 0, 0, 534, 653, 450, 121, 321, 0, 0, 474, 126, 0, 644, 119]"
133,2512,0,"[0, 0, 0, 0, 0]",215,"[215, 423, 249, 320, 242, 0, 0, 104, 148, 276, 193, 442, 255, 513, 20, 470, 291, 389, 474, 311, 179, 279, 385, 297, 379]"
134,320,19,"[0, 0, 0, 0, 0]",60,"[25, 53, 289, 32, 494, 0, 153, 66, 39, 426, 19, 108, 501, 245, 14, 55, 152, 280, 754, 60, 248, 33, 47, 329]"
135,2158,7,"[0, 0, 0, 0, 0]",587,"[395, 318, 528, 726, 714, 386, 0, 587, 37, 116, 180, 560, 137, 405, 177, 196, 15, 143, 181, 505, 129, 475, 0, 124, 0]"
136,1394,1,"[0, 0, 0, 0, 0]",254,"[121, 254, 123, 33, 379, 35, 501, 179, 380, 108, 527, 405, 109, 89, 185, 508, 513, 661, 773, 493, 41, 321, 75, 564, 301]"
137,656,20,"[0, 0, 0, 0, 0]",43,"[376, 426, 54, 501, 23, 66, 371, 153, 377, 304, 35, 254, 456, 88, 379, 19, 450, 465, 91, 75, 43, 27, 36, 121, 40]"
138,656,16,"[43, 0, 0, 0, 0]",754,"[376, 23, 371, 377, 35, 254, 88, 19, 450, 465, 91, 75, 43, 40, 775, 143, 754, 661, 102, 389, 22, 29, 85, 34, 89]"
139,2158,16,"[587, 0, 0, 0, 0]",15,"[395, 318, 528, 726, 714, 386, 0, 587, 37, 116, 180, 560, 137, 405, 177, 196, 15, 143, 181, 505, 129, 475, 0, 124, 0]"
140,1302,0,"[0, 0, 0, 0, 0]",321,"[321, 772, 775, 14, 15, 19, 20, 25, 26, 31, 32, 33, 34, 35, 37, 38, 40, 41, 42, 45, 46, 47, 50, 52, 56]"
141,656,21,"[43, 754, 0, 0, 0]",29,"[376, 23, 371, 377, 35, 254, 88, 19, 450, 465, 91, 75, 43, 40, 775, 143, 754, 661, 102, 389, 22, 29, 85, 34, 89]"
142,1394,0,"[254, 0, 0, 0, 0]",405,"[405, 137, 587, 467, 140, 22, 427, 58, 141, 215, 186, 510, 138, 52, 206, 573, 122, 353, 133, 255, 130, 168, 189, 739, 97]"
143,2121,19,"[0, 0, 0, 0, 0]",46,"[121, 501, 55, 385, 371, 426, 429, 380, 44, 35, 286, 530, 527, 456, 301, 39, 379, 502, 18, 46, 497, 376, 17, 377, 483]"
144,443,16,"[0, 0, 0, 0, 0]",31,"[128, 80, 72, 91, 43, 701, 123, 143, 714, 775, 98, 0, 587, 163, 288, 121, 31, 77, 132, 772, 329, 168, 45, 154, 208]"
145,2877,0,"[0, 0, 0, 0, 0]",468,"[468, 123, 493, 60, 84, 245, 754, 254, 51, 25, 54, 55, 121, 289, 426, 429, 376, 501, 108, 35, 371, 23, 473, 298, 380]"
146,2540,0,"[0, 0, 0, 0, 0]",132,"[132, 208, 118, 168, 154, 528, 253, 322, 131, 149, 190, 355, 0, 386, 769, 752, 139, 0, 157, 260, 615, 273, 217, 568, 178]"
151,1394,1,"[254, 405, 0, 0, 0]",137,"[405, 137, 587, 467, 140, 22, 427, 58, 141, 215, 186, 510, 138, 52, 206, 573, 122, 353, 133, 255, 130, 168, 189, 739, 97]"
152,1254,1,"[0, 0, 0, 0, 0]",20,"[294, 20, 119, 54, 121, 426, 588, 304, 385, 483, 497, 321, 252, 379, 614, 429, 102, 474, 502, 36, 464, 98, 530, 447, 450]"
153,1771,15,"[0, 0, 0, 0, 0]",502,"[376, 576, 254, 493, 102, 527, 120, 222, 18, 233, 110, 523, 756, 497, 306, 502, 278, 279, 448, 54, 137, 614, 474, 483, 175]"
155,656,24,"[43, 754, 29, 0, 0]",89,"[376, 23, 371, 377, 35, 254, 88, 19, 450, 465, 91, 75, 43, 40, 775, 143, 754, 661, 102, 389, 22, 29, 85, 34, 89]"
156,2790,0,"[0, 0, 0, 0, 0]",101,"[101, 46, 43, 18, 22, 288, 32, 36, 128, 374, 23, 587, 192, 121, 773, 77, 80, 91, 753, 31, 108, 57, 153, 383, 437]"
157,2540,0,"[132, 132, 0, 0, 0]",132,"[132, 208, 118, 168, 154, 528, 253, 322, 131, 149, 190, 355, 0, 386, 769, 752, 139, 0, 157, 260, 615, 273, 217, 568, 178]"
159,2121,2,"[46, 0, 0, 0, 0]",46,"[44, 501, 46, 17, 426, 456, 377, 425, 43, 187, 383, 87, 371, 729, 301, 185, 34, 78, 32, 89, 26, 112, 123, 65, 484]"
160,2015,9,"[0, 0, 0, 0, 0]",467,"[376, 450, 286, 576, 254, 493, 27, 110, 474, 467, 278, 614, 222, 502, 233, 756, 775, 530, 279, 306, 307, 464, 102, 120, 123]"
161,1429,0,"[121, 0, 0, 0, 0]",304,"[304, 286, 597, 448, 450, 464, 483, 614, 497, 0, 20, 119, 297, 279, 303, 385, 379, 389, 593, 431, 549, 700, 314, 447, 771]"
162,2015,3,"[467, 0, 0, 0, 0]",291,"[381, 255, 569, 291, 743, 467, 367, 276, 393, 286, 390, 191, 242, 177, 210, 132, 303, 208, 684, 770, 614, 182, 528, 157, 104]"
163,1881,7,"[431, 431, 0, 0, 0]",431,"[179, 379, 530, 134, 119, 294, 497, 431, 20, 380, 389, 121, 279, 297, 483, 474, 450, 508, 286, 447, 624, 321, 374, 304, 448]"
164,3017,0,"[0, 0, 0, 0, 0]",483,"[483, 321, 502, 20, 110, 431, 121, 426, 429, 435, 380, 513, 614, 464, 379, 27, 530, 179, 102, 434, 508, 303, 286, 294, 385]"
165,2015,0,"[467, 291, 0, 0, 0]",381,"[381, 255, 569, 291, 743, 467, 367, 276, 393, 286, 390, 191, 242, 177, 210, 132, 303, 208, 684, 770, 614, 182, 528, 157, 104]"
166,879,4,"[0, 0, 0, 0, 0]",304,"[450, 241, 303, 614, 304, 297, 385, 279, 597, 121, 27, 278, 246, 447, 212, 242, 102, 652, 550, 458, 104, 210, 224, 25, 306]"
167,1427,0,"[0, 0, 0, 0, 0]",301,"[301, 371, 576, 123, 405, 465, 89, 143, 55, 60, 66, 121, 429, 380, 501, 35, 23, 527, 496, 25, 661, 44, 493, 456, 39]"
168,656,6,"[43, 754, 29, 89, 0]",501,"[64, 25, 376, 289, 426, 54, 501, 429, 23, 66, 371, 153, 377, 304, 254, 35, 456, 88, 379, 19, 450, 465, 91, 75, 43]"
169,2330,3,"[0, 0, 0, 0, 0]",153,"[425, 60, 426, 153, 280, 108, 641, 0, 0, 263, 0, 0, 0, 51, 50, 0, 0, 436, 0, 25, 53, 0, 677, 264, 0]"
170,2790,0,"[101, 0, 0, 0, 0]",101,"[101, 46, 43, 18, 22, 288, 32, 36, 128, 374, 23, 587, 192, 121, 773, 77, 80, 91, 753, 31, 108, 57, 153, 383, 437]"
172,601,6,"[123, 0, 0, 0, 0]",123,"[380, 39, 465, 376, 484, 496, 123, 576, 473, 120, 35, 450, 222, 377, 493, 88, 143, 44, 254, 110, 179, 775, 91, 389, 527]"
173,1427,0,"[301, 0, 0, 0, 0]",301,"[301, 371, 576, 123, 405, 465, 89, 143, 55, 60, 66, 121, 429, 380, 501, 35, 23, 527, 496, 25, 661, 44, 493, 456, 39]"
174,3433,4,"[0, 0, 0, 0, 0]",33,"[379, 753, 135, 456, 33, 497, 32, 304, 733, 508, 114, 751, 27, 25, 297, 42, 64, 289, 385, 207, 494, 590, 174, 771]"
176,2158,0,"[587, 15, 0, 0, 0]",587,"[587, 576, 123, 405, 493, 254, 112, 121, 289, 426, 429, 520, 501, 128, 35, 37, 307, 23, 473, 527, 456, 371, 120, 18, 380]"
177,1427,2,"[301, 301, 0, 0, 0]",576,"[301, 371, 576, 123, 405, 465, 89, 143, 55, 60, 66, 121, 429, 380, 501, 35, 23, 527, 496, 25, 661, 44, 493, 456, 39]"
178,2158,0,"[587, 15, 587, 0, 0]",587,"[587, 576, 123, 493, 405, 254, 143, 112, 37, 128, 307, 58, 18, 23, 35, 121, 465, 527, 380, 120, 371, 301, 496, 661, 456]"
179,656,1,"[43, 754, 29, 89, 501]",465,"[254, 465, 91, 43, 775, 143, 754, 661, 22, 29, 85, 20, 286, 321, 112, 467, 163, 277, 175, 284, 37, 70, 431, 57, 588]"
180,879,4,"[304, 0, 0, 0, 0]",304,"[450, 241, 303, 614, 304, 297, 385, 279, 597, 121, 27, 278, 246, 447, 212, 242, 102, 652, 550, 458, 104, 210, 224, 25, 306]"
181,2337,0,"[36, 42, 42, 54, 36]",36,"[36, 42, 429, 55, 121, 25, 426, 44, 456, 379, 473, 27, 376, 433, 110, 39, 62, 380, 530, 501, 179, 53, 496, 60, 75]"
