item_id,properties
5155978,Excellent Rating|Swimming Pool (Outdoor)|Hairdryer|Beach|From 3 Stars|Good Rating|Terrace (Hotel)|Very Good Rating|Television|Business Hotel|Shower|Laundry Service|Deck Chairs|Ironing Board|Free WiFi (Combined)|Balcony|WiFi (Public Areas)|Family Friendly|Openable Windows|Satellite TV|Pousada (BR)|Surfing|Airport Shuttle|From 2 Stars|Free WiFi (Rooms)|Sitting Area (Rooms)|Express Check-In / Check-Out|Non-Smoking Rooms|Safe (Rooms)|Boutique Hotel|Singles|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Reception (24/7)|Air Conditioning|Sun Umbrellas|Satisfactory Rating
5507706,Conference Rooms|Gym|Hairdryer|Beach|From 3 Stars|Good Rating|Room Service|Luxury Hotel|Business Hotel|Shower|Laundry Service|Cosmetic Mirror|Radio|4 Star|From 4 Stars|Business Centre|Free WiFi (Combined)|Accessible Hotel|Porter|WiFi (Public Areas)|Family Friendly|Desk|Openable Windows|Restaurant|Design Hotel|Airport Shuttle|Gay-friendly|From 2 Stars|Car Park|Non-Smoking Rooms|Concierge|Safe (Rooms)|Flatscreen TV|Honeymoon|Large Groups|Singles|Computer with Internet|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Massage|Hotel Bar|Satisfactory Rating
1241536,From 2 Stars|Desk|Safe (Rooms)|Fitness|Swimming Pool (Indoor)|Computer with Internet|Volleyball|Fridge|Lift|Telephone|Hotel|Reception (24/7)|Air Conditioning|Cable TV|Hotel Bar|Satisfactory Rating|Childcare|3 Star|Laundry Service|Conference Rooms|Business Centre|Radio|Swimming Pool (Outdoor)|Gym|Beach|From 3 Stars|Car Park|Restaurant|Surfing|Openable Windows|Room Service|Hiking Trail|Luxury Hotel|Television|Business Hotel|Shower
2589266,Desk|Bike Rental|Concierge|Fan|Singles|WiFi (Rooms)|Reception (24/7)|Air Conditioning|Hotel Bar|Satisfactory Rating|WiFi (Public Areas)|Laundry Service|Diving|Beach|Good Rating|Restaurant|Pousada (BR)|Surfing|Openable Windows|Very Good Rating|Shower
4800516,Serviced Apartment|Sun Umbrellas|Satisfactory Rating|Deck Chairs|Balcony|Excellent Rating|Beach|Good Rating|Spa (Wellness Facility)|Theme Hotel|Terrace (Hotel)|Very Good Rating|Business Hotel
104789,Room Service|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Business Hotel|Shower|Desk|WiFi (Public Areas)|Swimming Pool (Outdoor)|Gym|Hairdryer|Beach|Laundry Service|From 3 Stars|Convention Hotel|Good Rating|4 Star|From 4 Stars|Cosmetic Mirror|Airport Shuttle|Deck Chairs|Family Friendly|Room Service (24/7)|Satellite TV|Restaurant|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Swimming Pool (Bar)|Hotel Bar|Satisfactory Rating|Flatscreen TV|Large Groups|Singles|Sauna|Conference Rooms|Business Centre|Car Park|Computer with Internet|Pet Friendly|WiFi (Rooms)|Swimming Pool (Combined Filter)|From 2 Stars|Free WiFi (Public Areas)|Lift|Free WiFi (Combined)|Free WiFi (Rooms)|Non-Smoking Rooms|Safe (Rooms)|Fitness|Openable Windows
3906960,Very Good Rating|Good Rating|Satisfactory Rating|House / Apartment
3930666,Room Service|Terrace (Hotel)|Television|Shower|Desk|Balcony|WiFi (Public Areas)|Microwave|Swimming Pool (Outdoor)|Gym|Cosmetic Mirror|Deck Chairs|Satellite TV|Reception (24/7)|Air Conditioning|Cable TV|Fan|Sauna|Playground|Car Park|Computer with Internet|Fridge|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Ironing Board|Free WiFi (Combined)|House / Apartment|Free WiFi (Rooms)|Non-Smoking Rooms|Fitness|Openable Windows
3997268,Very Good Rating|Television|Shower|Desk|Sitting Area (Rooms)|WiFi (Public Areas)|Microwave|Hairdryer|Beach|Electric Kettle|Good Rating|Air Conditioning|Cable TV|Satisfactory Rating|Fan|Flatscreen TV|Computer with Internet|Fridge|WiFi (Rooms)|Serviced Apartment|Free WiFi (Public Areas)|Washing Machine|Lift|Ironing Board|Free WiFi (Combined)|Self Catering|Free WiFi (Rooms)|Concierge|Openable Windows
5048198,Very Good Rating|Good Rating|Satisfactory Rating|House / Apartment|Excellent Rating
2891934,Restaurant|Car Park|WiFi (Public Areas)|Laundry Service|Family Friendly|Hostel|Free WiFi (Combined)|Self Catering|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Air Conditioning|Hotel Bar|Satisfactory Rating|Terrace (Hotel)|Very Good Rating|Business Hotel|Fan|Large Groups|Singles|WiFi (Rooms)|Free WiFi (Public Areas)|Beach|Good Rating|Organised Activities
926343,Cot|Beach|Bike Rental|Concierge|Safe (Rooms)|WiFi (Public Areas)|Computer with Internet|WiFi (Rooms)|Lift|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Air Conditioning|Cable TV|Television|Business Hotel|Shower|Openable Windows|Laundry Service|Sitting Area (Rooms)|Gay-friendly|From 2 Stars|Desk|Family Friendly
1057862,Beach|From 3 Stars|Good Rating|Free WiFi (Combined)|Tennis Court|Bike Rental|Free WiFi (Rooms)|Fitness|WiFi (Public Areas)|3 Star|Honeymoon|Singles|Computer with Internet|Volleyball|WiFi (Rooms)|Free WiFi (Public Areas)|Telephone|Hotel|Reception (24/7)|Air Conditioning|Cable TV|Hotel Bar|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Television|Business Hotel|Shower|Restaurant|Design Hotel|Surfing|Openable Windows|Senior Travellers|Tennis Court (Indoor)|From 2 Stars|Desk|Family Friendly
1993639,Beach|Fitness|WiFi (Public Areas)|Jacuzzi (Hotel)|Computer with Internet|Volleyball|WiFi (Rooms)|Lift|Telephone|Hotel|Reception (24/7)|Air Conditioning|2 Star|Adults Only|Bathtub|Satisfactory Rating|Airport Hotel|Room Service|Hiking Trail|Luxury Hotel|Television|Shower|Openable Windows|Sitting Area (Rooms)|Radio|Room Service (24/7)
3859430,Swimming Pool (Outdoor)|Cot|Hypoallergenic Bedding|Good Rating|Ironing Board|Free WiFi (Combined)|Free WiFi (Rooms)|Non-Smoking Rooms|WiFi (Public Areas)|Childcare|Playground|Fan|Flatscreen TV|Singles|WiFi (Rooms)|Swimming Pool (Combined Filter)|Reception (24/7)|Air Conditioning|Country Hotel|Hypoallergenic Rooms|Cable TV|Satisfactory Rating|Terrace (Hotel)|Very Good Rating|Television|Airport Shuttle|Openable Windows|Laundry Service|Car Park|Desk|Bed & Breakfast
3907838,Microwave|Swimming Pool (Outdoor)|Gym|Hairdryer|Beach|Good Rating|Ironing Board|Free WiFi (Combined)|House / Apartment|Self Catering|Free WiFi (Rooms)|Fitness|Balcony|WiFi (Public Areas)|Sauna|Flatscreen TV|Fridge|WiFi (Rooms)|Lift|Reception (24/7)|Air Conditioning|Satisfactory Rating|Room Service|Terrace (Hotel)|Very Good Rating|Television|Shower|Restaurant|Openable Windows|Laundry Service|Sitting Area (Rooms)|Car Park|Deck Chairs|Electric Kettle
4849690,Gym|Hairdryer|Beach|From 3 Stars|Good Rating|Ironing Board|Non-Smoking Rooms|Concierge|Safe (Rooms)|WiFi (Public Areas)|Sauna|3 Star|Flatscreen TV|Computer with Internet|Fridge|Lift|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Satisfactory Rating|Room Service|Luxury Hotel|Terrace (Hotel)|Television|Business Hotel|Shower|Steam Room|Solarium|Restaurant|Laundry Service|Sitting Area (Rooms)|Business Centre|From 2 Stars|Desk|Family Friendly
5727464,Good Rating|Hostel|Free WiFi (Combined)|Free WiFi (Rooms)|Eco-Friendly hotel|Large Groups|Singles|WiFi (Rooms)|Swimming Pool (Combined Filter)|Satisfactory Rating|Airport Shuttle|Design Hotel|Gay-friendly
9687230,Good Rating|Hostel|Satisfactory Rating|Very Good Rating
477966,Microwave|Swimming Pool (Outdoor)|Gym|Hairdryer|Beach|Restaurant|Openable Windows|Jacuzzi (Hotel)|Large Groups|Computer with Internet|Pet Friendly|Volleyball|Serviced Apartment|Swimming Pool (Combined Filter)|Lift|Conference Rooms|Laundry Service|Radio|Room Service|Hiking Trail|Television|Shower|Steam Room|Desk|Deck Chairs|Family Friendly|Surfing|Car Park|Satellite TV|Sauna|Tennis Court (Indoor)|Sitting Area (Rooms)|Safe (Hotel)|Telephone|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Hotel Bar|Satisfactory Rating|Tennis Court|Porter|Self Catering|Safe (Rooms)|Fitness
5178588,From 3 Stars|From 2 Stars|Singles|WiFi (Rooms)|Free WiFi (Public Areas)|Television|Shower|WiFi (Public Areas)|Eco-Friendly hotel|Car Park|Hotel|Cable TV|Free WiFi (Combined)|Free WiFi (Rooms)
7061506,Guest House
8301552,Pousada (BR)
1947769,Large Groups|Singles|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|WiFi (Public Areas)|Radio|Free WiFi (Combined)|Free WiFi (Rooms)|Fitness|Beach|Luxury Hotel|From 2 Stars|Family Friendly|Room Service (24/7)|Television|Shower|Telephone|Hotel|Reception (24/7)|Air Conditioning|2 Star|Car Park|Openable Windows
1994895,Jacuzzi (Hotel)|Volleyball|WiFi (Rooms)|WiFi (Public Areas)|Radio|Fitness|Hairdryer|Beach|Room Service|Hiking Trail|Luxury Hotel|Desk|Television|Shower|Telephone|Hotel|Reception (24/7)|Air Conditioning|Cable TV|2 Star|Adults Only|Bathtub|Car Park|Openable Windows|Surfing
104528,From 2 Stars|Family Friendly|Room Service (24/7)|Cosmetic Mirror|3 Star|Laundry Service|Kids' Club|Playground|Radio|From 4 Stars|Business Centre|WiFi (Public Areas)|Desk|Sitting Area (Rooms)|Cot|Gym|Hairdryer|Nightclub|Beach|Beauty Salon|From 3 Stars|Convention Hotel|Sauna|Good Rating|Jacuzzi (Hotel)|Large Groups|Hairdresser|Computer with Internet|Pet Friendly|WiFi (Rooms)|Washing Machine|Lift|Central Heating|Room Service|Hiking Trail|Luxury Hotel|Towels|Television|Business Hotel|Shower|Steam Room|Organised Activities|Satellite TV|Car Park|Express Check-In / Check-Out|Restaurant|Design Hotel|Solarium|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Massage|Hotel Bar|Doctor On-Site|Childcare|Bathtub|Satisfactory Rating|Ironing Board|Free WiFi (Combined)|Porter|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Safe (Rooms)
5596172,Gay-friendly|Cosmetic Mirror|Balcony|Microwave|Fan|Large Groups|Singles|Fridge|WiFi (Rooms)|Theme Hotel|Shower|Express Check-In / Check-Out|Openable Windows|Reception (24/7)|Air Conditioning|Cable TV|Hotel Bar|Hostel|Accessible Hotel|Porter
5877818,Luxury Hotel|Hotel
6037252,Hotel
104880,Telephone|Hotel|Reception (24/7)|Air Conditioning|Cable TV|Sun Umbrellas|Hotel Bar|Satisfactory Rating|3 Star|Tennis Court (Indoor)|Free WiFi (Combined)|Tennis Court|Romantic|Porter|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Safe (Rooms)|Fitness|Cot|Hairdryer|Beach|From 3 Stars|Airport Shuttle|Surfing|Satellite TV|Good Rating|Room Service|Luxury Hotel|Family Friendly|Desk|Restaurant|Very Good Rating|Television|Business Hotel|Direct beach access|Excellent Rating|Shower|Computer with Internet|Volleyball|WiFi (Rooms)|Lift|Gay-friendly|From 2 Stars
3381040,Telephone|Reception (24/7)|Air Conditioning|Cable TV|Non-Smoking Rooms|Microwave|Hairdryer|Openable Windows|Hiking Trail|Desk|Television|Shower|Fridge|Serviced Apartment|Lift|Central Heating
3395384,Air Conditioning|Cable TV|Satisfactory Rating|Ironing Board|Free WiFi (Combined)|Free WiFi (Rooms)|Safe (Rooms)|Swimming Pool (Outdoor)|Beach|Openable Windows|Satellite TV|Good Rating|Deck Chairs|Bed & Breakfast|Very Good Rating|Television|Shower|Fan|Diving|WiFi (Public Areas)|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Central Heating
6438418,Telephone|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Hotel Bar|Satisfactory Rating|Conference Rooms|Hostel|Free WiFi (Combined)|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Safe (Rooms)|Swimming Pool (Outdoor)|From 3 Stars|Design Hotel|Good Rating|Airport Hotel|Deck Chairs|Terrace (Hotel)|Desk|Restaurant|Very Good Rating|Business Hotel|Shower|Flatscreen TV|Large Groups|Boutique Hotel|Singles|WiFi (Public Areas)|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|From 2 Stars
3091218,Car Park|Gay-friendly|Openable Windows|Satellite TV|Deck Chairs|Swimming Pool (Outdoor)|Beach|Good Rating|Hostel|Air Conditioning|Cable TV|Satisfactory Rating|Very Good Rating|Television|Business Hotel|Direct beach access|Shower|Fan|Honeymoon|Singles|Pet Friendly|Swimming Pool (Combined Filter)
6428088,Satellite TV|WiFi (Public Areas)|Free WiFi (Combined)|Free WiFi (Rooms)|Hotel|Cable TV|Luxury Hotel|Television|Shower|WiFi (Rooms)|Free WiFi (Public Areas)
7064154,Hotel
8430668,House / Apartment
104524,Conference Rooms|WiFi (Public Areas)|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Satisfactory Rating|Free WiFi (Combined)|Tennis Court|Free WiFi (Rooms)|Tennis Court (Indoor)|Non-Smoking Rooms|Concierge|Safe (Rooms)|Fitness|Radio|Desk|Diving|From 2 Stars|Business Centre|3 Star|Laundry Service|Sauna|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Television|Business Hotel|Shower|Computer with Internet|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating|Swimming Pool (Outdoor)|Gym|Hairdryer|Beach|From 3 Stars|Convention Hotel|Good Rating|Room Service (24/7)|Car Park|Restaurant|Openable Windows|Satellite TV|Surfing|Design Hotel|Sailing
1834157,WiFi (Public Areas)|Reception (24/7)|Air Conditioning|Hotel Bar|Satisfactory Rating|Ironing Board|Hostel|Porter|Bike Rental|Self Catering|Fitness|Excellent Rating|Gay-friendly|Airport Hotel|Room Service|Hiking Trail|Very Good Rating|Business Hotel|Shower|Large Groups|Singles|Computer with Internet|Pet Friendly|Volleyball|WiFi (Rooms)|Hairdryer|Beach|Good Rating|Openable Windows|Surfing
2800112,Conference Rooms|WiFi (Public Areas)|Telephone|Hotel|Air Conditioning|Sun Umbrellas|Ironing Board|Self Catering|Sitting Area (Rooms)|Concierge|Safe (Rooms)|Fitness|From 4 Stars|Electric Kettle|From 2 Stars|3 Star|Laundry Service|Sauna|Room Service|Terrace (Hotel)|Television|Shower|Fridge|WiFi (Rooms)|Central Heating|Swimming Pool (Outdoor)|Gym|Hairdryer|From 3 Stars|Deck Chairs|Room Service (24/7)|Restaurant|Openable Windows
2891690,Conference Rooms|WiFi (Public Areas)|Safe (Hotel)|Reception (24/7)|Air Conditioning|Cable TV|Swimming Pool (Bar)|Sun Umbrellas|Massage|Hotel Bar|Pool Table|Satisfactory Rating|Ironing Board|Free WiFi (Combined)|Tennis Court|Porter|Self Catering|Free WiFi (Rooms)|Sitting Area (Rooms)|On-Site Boutique Shopping|Tennis Court (Indoor)|Non-Smoking Rooms|Concierge|Fitness|Convenience Store|Electric Kettle|Desk|Excellent Rating|Childcare|Playground|Business Centre|Sauna|Room Service|Terrace (Hotel)|Towels|Very Good Rating|Television|Minigolf|Business Hotel|Shower|Fan|Jacuzzi (Hotel)|Hairdresser|Computer with Internet|Volleyball|Fridge|WiFi (Rooms)|Serviced Apartment|Free WiFi (Public Areas)|Washing Machine|Lift|Spa Hotel|Microwave|Swimming Pool (Outdoor)|Gym|Nightclub|Beach|Beauty Salon|Good Rating|Deck Chairs|Room Service (24/7)|Table Tennis|Bowling|Car Park|Restaurant|Openable Windows
6558500,Hotel
8455826,Hotel
9501188,Satisfactory Rating|House / Apartment|Excellent Rating|Very Good Rating|Good Rating
917419,Openable Windows|Conference Rooms|Deck Chairs|Family Friendly|Restaurant|Satellite TV|Car Park|WiFi (Public Areas)|From 2 Stars|4 Star|From 4 Stars|Childcare|Design Hotel|Solarium|Desk|Laundry Service|Telephone|Hotel|Reception (24/7)|Air Conditioning|Cable TV|Massage|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Business Hotel|Direct beach access|Shower|Free WiFi (Combined)|Romantic|Boat Rental|Bike Rental|Free WiFi (Rooms)|Concierge|Safe (Rooms)|Swimming Pool (Outdoor)|Cot|Hairdryer|Beach|From 3 Stars|Good Rating|Fan|Computer with Internet|Pet Friendly|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift
3211849,Openable Windows|Surfing|WiFi (Public Areas)|Laundry Service|Reception (24/7)|Air Conditioning|Satisfactory Rating|Room Service|Hiking Trail|Terrace (Hotel)|Shower|Hostel|Free WiFi (Combined)|Bike Rental|Self Catering|Free WiFi (Rooms)|Safe (Rooms)|Beach|Good Rating|Singles|WiFi (Rooms)|Free WiFi (Public Areas)
5024148,Sitting Area (Rooms)|Restaurant|Sauna|Safe (Hotel)|Hotel|Cable TV|Sun Umbrellas|Hotel Bar|Swimming Pool (Outdoor)|Gym|Beach|Flatscreen TV
2732900,Microwave|Reception (24/7)|Air Conditioning|Cable TV|Satisfactory Rating|Shower|Fan|Fridge|Openable Windows|WiFi (Rooms)|Lift|Ironing Board|WiFi (Public Areas)|House / Apartment|Self Catering
3194634,Electric Kettle|Microwave|Hairdryer|Reception (24/7)|Air Conditioning|Cable TV|Television|Shower|Satellite TV|Surfing|Fan|Computer with Internet|Pet Friendly|Fridge|Openable Windows|WiFi (Rooms)|Sitting Area (Rooms)|Lift|Free WiFi (Combined)|House / Apartment|Bike Rental|Self Catering|Free WiFi (Rooms)
2924213,Luxury Hotel|Very Good Rating|Business Hotel|Car Park|Business Centre|Electric Kettle|3 Star|WiFi (Public Areas)|Excellent Rating|Openable Windows|Restaurant|Radio|Desk|From 2 Stars|Sitting Area (Rooms)|Shower|Ironing Board|Free WiFi (Combined)|Self Catering|Free WiFi (Rooms)|Microwave|Hairdryer|Beach|From 3 Stars|Good Rating|Fan|Computer with Internet|Fridge|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Safe (Hotel)|Hotel|Reception (24/7)|Air Conditioning|Hypoallergenic Rooms|Cable TV|Satisfactory Rating
5737270,Room Service|Luxury Hotel|Very Good Rating|Car Park|3 Star|WiFi (Public Areas)|From 2 Stars|Laundry Service|Ironing Board|Free WiFi (Combined)|Accessible Hotel|Porter|Free WiFi (Rooms)|Non-Smoking Rooms|Gym|Accessible Parking|From 3 Stars|Good Rating|WiFi (Rooms)|Free WiFi (Public Areas)|Washing Machine|Lift|Safe (Hotel)|Hotel|Reception (24/7)|Air Conditioning|Satisfactory Rating
5722428,Conference Rooms|Sitting Area (Rooms)|4 Star|From 4 Stars|Flatscreen TV|Large Groups|Computer with Internet|Pet Friendly|Swimming Pool (Combined Filter)|Room Service (24/7)|Lift|WiFi (Public Areas)|From 2 Stars|Electric Kettle|Gym|Hairdryer|From 3 Stars|Good Rating|Room Service|Luxury Hotel|Very Good Rating|Business Hotel|Shower|Desk|Sauna|Hotel|Reception (24/7)|Hotel Bar|Satisfactory Rating|Porter|Concierge|Safe (Rooms)|Spa (Wellness Facility)|Restaurant|Car Park|Solarium
8449918,Hotel
9669422,House / Apartment
1352526,From 4 Stars|Desk|3 Star|Openable Windows|Excellent Rating|Childcare|From 2 Stars|Sitting Area (Rooms)|WiFi (Public Areas)|Car Park|Deck Chairs|Family Friendly|Diving|Laundry Service|Room Service|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Shower|Ironing Board|Romantic|Non-Smoking Rooms|Concierge|Safe (Rooms)|Swimming Pool (Outdoor)|Cot|Hairdryer|Beach|From 3 Stars|Good Rating|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Swimming Pool (Bar)|Sun Umbrellas|Massage|Hotel Bar|Bathtub|Satisfactory Rating|Honeymoon|Computer with Internet|WiFi (Rooms)|Swimming Pool (Combined Filter)|Washing Machine|Surfing|Restaurant
5152360,Business Centre|4 Star|From 4 Stars|Desk|Gay-friendly|From 2 Stars|Convenience Store|WiFi (Public Areas)|Car Park|Deck Chairs|Conference Rooms|Laundry Service|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Business Hotel|Shower|Ironing Board|Free WiFi (Combined)|Accessible Hotel|Self Catering|Free WiFi (Rooms)|Non-Smoking Rooms|Safe (Rooms)|Swimming Pool (Outdoor)|Gym|Hairdryer|From 3 Stars|Good Rating|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Hotel Bar|Adults Only|Satisfactory Rating|Flatscreen TV|Honeymoon|Large Groups|Singles|Computer with Internet|Fridge|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Design Hotel|Satellite TV|Restaurant
5665842,Very Good Rating|House / Apartment|Good Rating|Satisfactory Rating
7042124,House / Apartment|2 Star
7292828,Pet Friendly|Pousada (BR)
104913,Desk|Sailing|Sauna|3 Star|Spa (Wellness Facility)|Restaurant|Openable Windows|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Sun Umbrellas|Hotel Bar|Pool Table|Satisfactory Rating|Flatscreen TV|Singles|Computer with Internet|Volleyball|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating|Swimming Pool (Outdoor)|Diving|From 2 Stars|Cot|Beach|WiFi (Public Areas)|Surfing|From 3 Stars|Convention Hotel|Good Rating|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Towels|Television|Deck Chairs|Family Friendly|Business Hotel|Shower|Free WiFi (Combined)|Romantic|Boat Rental|Porter|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Safe (Rooms)|Fitness
1994909,Laundry Service|Airport Shuttle|Openable Windows|Safe (Hotel)|Hotel|Reception (24/7)|Air Conditioning|Hotel Bar|Satisfactory Rating|Large Groups|Singles|Computer with Internet|Volleyball|WiFi (Rooms)|Beach|WiFi (Public Areas)|Surfing|Good Rating|Hiking Trail|Shower|Tennis Court|Bike Rental|Self Catering|Non-Smoking Rooms|Concierge|Fitness
4736506,Openable Windows|Fridge|WiFi (Rooms)|Lift|Central Heating|Microwave|Cot|Sitting Area (Rooms)|Radio|Television|Shower|Free WiFi (Combined)|House / Apartment|Self Catering|Free WiFi (Rooms)|Non-Smoking Rooms
